"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"p-limit","1.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/p-limit"
"p-locate","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/p-locate"
"parse-json","2.2.0","false","Previously pedigree reviewed","MIT,WTFPL","MIT","Approved","node_modules/parse-json"
"path-exists","3.0.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/path-exists"
"path-is-absolute","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/path-is-absolute"
"path-parse","1.0.5","false","Previously pedigree reviewed","","MIT","Approved | Reference Only","node_modules/path-parse"
"path-type","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/path-type"
"pify","2.3.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/pify"
"pinkie","2.0.4","false","Exempt - Version closely related to 2.0.1","MIT","MIT","Approved","node_modules/pinkie"
"pinkie-promise","2.0.1","false","Exempt - Version closely related to 2.0.0","MIT","MIT","Approved","node_modules/pinkie-promise"
"prepend-http","1.0.4","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/prepend-http"
"pretty-bytes","4.0.2","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/pretty-bytes"
"process-nextick-args","1.0.7","false","Exempt - Version closely related to 1.0.2","MIT","MIT","Approved","node_modules/process-nextick-args"
"pseudomap","1.0.2","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/pseudomap"
"read-chunk","2.1.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/read-chunk"
"pify","3.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/read-chunk/node_modules/pify"
"read-pkg","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/read-pkg"
"read-pkg-up","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/read-pkg-up"
"readable-stream","2.3.3","false","Exempt - Version closely related to 2.3.0","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/readable-stream"
"rechoir","0.6.2","false","Previously pedigree reviewed","MIT","","Approved","node_modules/rechoir"
"remove-trailing-separator","1.0.2","false","Exempt - Version closely related to 1.0.1","ISC","ISC","Approved","node_modules/remove-trailing-separator"
"repeat-string","1.6.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/repeat-string"
"replace-ext","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/replace-ext"
"resolve","1.4.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/resolve"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/module_dir/zmodules/bbb"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/baz"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/dot_main"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/dot_slash_main"
"package","unknown","true","New package and not exempt","","","No license information available","node_modules/resolve/test/resolver/incorrect_main"
"restore-cursor","1.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/restore-cursor"
"right-align","0.1.3","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/right-align"
"rimraf","2.6.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/rimraf"
"run-async","2.3.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/run-async"
"rx","4.1.0","true","New version and not exempt","Apache-2.0,UNKNOWN","Apache-2.0","Needs Review","node_modules/rx"
"safe-buffer","5.1.1","false","Exempt - Version closely related to 5.1.0","MIT","MIT","Approved","node_modules/safe-buffer"
"semver","5.4.1","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/semver"
"shebang-command","1.2.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/shebang-command"
"shebang-regex","1.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/shebang-regex"
"shelljs","0.7.8","false","Exempt - Version closely related to 0.7.0","BSD-3-Clause,MIT,UNKNOWN","BSD-3-Clause","Needs Review","node_modules/shelljs"
"source-map","0.4.4","false","Previously pedigree reviewed","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/source-map"
"spawn-sync","1.0.15","false","Exempt - Version closely related to 1.0.11","MIT","MIT","Approved","node_modules/spawn-sync"
